corpus_index,file,date,timestamp,asset,direction,basis,horizon_days,entry,stop,target,claim,adjudication
0,IMG_7800,2026-02-15,2026-02-15 01:44,BTC,long,forecast,30,,,79000,waiting for btc to hit 79k...,waiting for btc to hit 79k
2,IMG_7791,2026-03-01,2026-03-01 09:59,BTC,long,forecast,30,,,73700,"MEMORANDUM Subject: Strategy Update: BTC/USDT Key Levels Execution Summary In line with our risk management framework, we recently distributed 50% of our position at the $69,011 resistance level (green baseline). We have since redeployed that capital, actively accumulating within our primary support",memorandum: 69k pivot then 73.7-74.5k
7,IMG_7794,2026-03-02,2026-03-02 07:07,BTC,long,position,30,,,,"Okay yes I'm {long} with Hefty amount already at avg rn sitting at 64.3k per btc, look closely blue and green line daily open 4H time frame. I'm not a day trader. But incase you are a day trader blue line & green line where everything and all u need to look at.. • 64.3k per btc I'm long 5x LV • I ha","long 5x, states avg 64.3k"
7,IMG_7794,2026-03-02,2026-03-02 07:07,LINK,long,position,30,,,,"Okay yes I'm {long} with Hefty amount already at avg rn sitting at 64.3k per btc, look closely blue and green line daily open 4H time frame. I'm not a day trader. But incase you are a day trader blue line & green line where everything and all u need to look at.. • 64.3k per btc I'm long 5x LV • I ha","$1M 6x long, panel entry 8.7933"
7,IMG_7794,2026-03-02,2026-03-02 07:07,XRP,long,position,30,,,,"Okay yes I'm {long} with Hefty amount already at avg rn sitting at 64.3k per btc, look closely blue and green line daily open 4H time frame. I'm not a day trader. But incase you are a day trader blue line & green line where everything and all u need to look at.. • 64.3k per btc I'm long 5x LV • I ha",'bought insane amount of XRP'
17,IMG_7799,2026-03-09,2026-03-09 22:33,BTC,short,position,30,,,,"I shorted btc at this level at 40x lv, I remember doing it all by myself alone… I understand this market better than anybody else in this whole world • and as I've said earlier I'm patiently waiting btc to hit 79k along the alt coins like I'm heavy invested in such as xrp,link I'm the greatest trade",shorted at 40x leverage
22,IMG_7803,2026-03-14,2026-03-14 08:47,BTC,short,position,30,,,,A lot of people would not believe it but let me just spoil it out for you guys btc rn even though i shorted at the region.. BTC rn should be at 150k no doubt the price is being MANIPULATED { PPM } ...,'even though i shorted at the region'
42,IMG_7809,2026-03-18,2026-03-18 19:46,BTC,short,forecast,30,,,,"FOMC - We Gonna Drop a bit, Finest trade fr ... but had to buy a watch so i exit 🤴",'FOMC - We Gonna Drop a bit'
52,IMG_7813,2026-03-22,2026-03-22 16:46,BTC,short,forecast,30,,,,"Dump incoming, be careful @everyone","'Dump incoming, be careful'"
55,IMG_7814,2026-03-23,2026-03-23 19:20,BTC,short,forecast,30,,,62000,No matter what we going to see 62k just a pump to eliminate shorts & stop it out,'No matter what we going to see 62k'
59,IMG_7814,2026-03-25,2026-03-25 20:44,BTC,short,position,30,,,66000,Shorts activated - after closing at green line last night ( shorting until 66k - green line is no joke tbh ),'Shorts activated ... until 66k'
62,IMG_7816,2026-03-26,2026-03-26 07:41,BTC,short,position,30,,,49000,71500 holding short GN ... (edited),'71500 holding short'; wants 52-49k
69,IMG_7817,2026-03-27,2026-03-27 02:01,BTC,short,position,30,,,49000,Rejected bearish orderblock at 69k green line now we will flow,holding short 'until I see BTC at 49k'
85,IMG_7820,2026-03-30,2026-03-30 08:30,BTC,short,position,30,,,,I'm shorting,'I'm shorting.'
93,"IMG_7822,IMG_7823",2026-03-31,2026-03-31 05:50,BTC,short,position,30,,,,so basically look if you in not high lv position be in short @everyone,'be in short'; 'I'm short'
